index,fitness,size,has_meta
0,0.721500,562,1
1,0.709100,981,1
2,0.714400,692,1
3,0.714400,1519,1
4,0.709100,913,1
5,0.714400,1447,1
6,0.709100,913,1
7,0.709100,744,1
8,0.714400,1212,1
9,0.714400,1519,1
10,0.714400,1424,1
11,0.721500,546,1
12,0.714400,1165,1
13,0.709100,929,1
14,0.714400,690,1
15,0.709100,634,1
16,0.714400,690,1
17,0.709100,747,1
18,0.714400,1035,1
19,0.709100,634,1
20,0.714400,1418,1
21,0.714400,688,1
22,0.709100,689,1
23,0.709100,744,1
24,0.714400,1819,1
25,0.709100,747,1
26,0.714400,1530,1
27,0.709100,758,1
28,0.709100,758,1
29,0.709100,688,1
30,0.709100,688,1
31,0.714400,1165,1
32,0.714400,1826,1
33,0.714400,1506,1
34,0.714400,705,1
35,0.706300,403,1
36,0.709100,634,1
37,0.709100,746,1
38,0.709100,716,1
39,0.714400,1059,1
40,0.709100,640,1
41,0.714400,705,1
42,0.709100,704,1
43,0.706300,377,1
44,0.714400,1519,1
45,0.709100,753,1
46,0.704700,794,1
47,0.714400,694,1
48,0.709100,1231,1
49,0.714400,1424,1
50,0.716000,742,1
51,0.716000,746,1
52,0.709100,679,1
53,0.714400,951,1
54,0.714400,951,1
55,0.714400,1214,1
56,0.714400,1199,1
57,0.709100,748,1
58,0.709100,634,1
59,0.709100,407,1
60,0.709100,704,1
61,0.709100,749,1
62,0.714400,684,1
63,0.714400,2070,1
64,0.714400,1036,1
65,0.714400,969,1
66,0.706300,365,1
67,0.709100,1141,1
68,0.714400,1037,1
69,0.706300,468,1
70,0.709100,662,1
71,0.716000,742,1
72,0.709100,633,1
73,0.714400,1521,1
74,0.714400,1521,1
75,0.714400,694,1
76,0.714400,1037,1
77,0.706300,375,1
78,0.714400,1202,1
79,0.709100,758,1
80,0.709100,662,1
81,0.706300,407,1
82,0.706300,361,1
83,0.721500,572,1
84,0.714400,1511,1
85,0.709100,406,1
86,0.709100,913,1
87,0.709100,633,1
88,0.714400,1522,1
89,0.714400,1511,1
90,0.709100,1232,1
91,0.709100,913,1
92,0.714400,981,1
93,0.714400,1048,1
94,0.714400,694,1
95,0.714400,1424,1
96,0.714400,1531,1
97,0.709100,429,1
98,0.714400,1165,1
99,0.714400,1228,1
