Index 00 | Fitness=0.721500
Index 11 | Fitness=0.721500
Index 83 | Fitness=0.721500
Index 50 | Fitness=0.716000
Index 51 | Fitness=0.716000
Index 71 | Fitness=0.716000
Index 02 | Fitness=0.714400
Index 03 | Fitness=0.714400
Index 05 | Fitness=0.714400
Index 08 | Fitness=0.714400
Index 09 | Fitness=0.714400
Index 10 | Fitness=0.714400
Index 12 | Fitness=0.714400
Index 14 | Fitness=0.714400
Index 16 | Fitness=0.714400
Index 18 | Fitness=0.714400
Index 20 | Fitness=0.714400
Index 21 | Fitness=0.714400
Index 24 | Fitness=0.714400
Index 26 | Fitness=0.714400
Index 31 | Fitness=0.714400
Index 32 | Fitness=0.714400
Index 33 | Fitness=0.714400
Index 34 | Fitness=0.714400
Index 39 | Fitness=0.714400
Index 41 | Fitness=0.714400
Index 44 | Fitness=0.714400
Index 47 | Fitness=0.714400
Index 49 | Fitness=0.714400
Index 53 | Fitness=0.714400
Index 54 | Fitness=0.714400
Index 55 | Fitness=0.714400
Index 56 | Fitness=0.714400
Index 62 | Fitness=0.714400
Index 63 | Fitness=0.714400
Index 64 | Fitness=0.714400
Index 65 | Fitness=0.714400
Index 68 | Fitness=0.714400
Index 73 | Fitness=0.714400
Index 74 | Fitness=0.714400
Index 75 | Fitness=0.714400
Index 76 | Fitness=0.714400
Index 78 | Fitness=0.714400
Index 84 | Fitness=0.714400
Index 88 | Fitness=0.714400
Index 89 | Fitness=0.714400
Index 92 | Fitness=0.714400
Index 93 | Fitness=0.714400
Index 94 | Fitness=0.714400
Index 95 | Fitness=0.714400
Index 96 | Fitness=0.714400
Index 98 | Fitness=0.714400
Index 99 | Fitness=0.714400
Index 01 | Fitness=0.709100
Index 04 | Fitness=0.709100
Index 06 | Fitness=0.709100
Index 07 | Fitness=0.709100
Index 13 | Fitness=0.709100
Index 15 | Fitness=0.709100
Index 17 | Fitness=0.709100
Index 19 | Fitness=0.709100
Index 22 | Fitness=0.709100
Index 23 | Fitness=0.709100
Index 25 | Fitness=0.709100
Index 27 | Fitness=0.709100
Index 28 | Fitness=0.709100
Index 29 | Fitness=0.709100
Index 30 | Fitness=0.709100
Index 36 | Fitness=0.709100
Index 37 | Fitness=0.709100
Index 38 | Fitness=0.709100
Index 40 | Fitness=0.709100
Index 42 | Fitness=0.709100
Index 45 | Fitness=0.709100
Index 48 | Fitness=0.709100
Index 52 | Fitness=0.709100
Index 57 | Fitness=0.709100
Index 58 | Fitness=0.709100
Index 59 | Fitness=0.709100
Index 60 | Fitness=0.709100
Index 61 | Fitness=0.709100
Index 67 | Fitness=0.709100
Index 70 | Fitness=0.709100
Index 72 | Fitness=0.709100
Index 79 | Fitness=0.709100
Index 80 | Fitness=0.709100
Index 85 | Fitness=0.709100
Index 86 | Fitness=0.709100
Index 87 | Fitness=0.709100
Index 90 | Fitness=0.709100
Index 91 | Fitness=0.709100
Index 97 | Fitness=0.709100
Index 35 | Fitness=0.706300
Index 43 | Fitness=0.706300
Index 66 | Fitness=0.706300
Index 69 | Fitness=0.706300
Index 77 | Fitness=0.706300
Index 81 | Fitness=0.706300
Index 82 | Fitness=0.706300
Index 46 | Fitness=0.704700
