index,fitness,size,has_meta
0,0.702500,87,1
1,0.590800,134,1
2,0.672900,93,1
3,0.672900,93,1
4,0.590800,182,1
5,0.674700,201,1
6,0.590800,138,1
7,0.590800,118,1
8,0.671200,64,1
9,0.590800,139,1
10,0.590800,143,1
11,0.671200,64,1
12,0.676200,36,1
13,0.590800,118,1
14,0.671200,64,1
15,0.671200,71,1
16,0.590800,129,1
17,0.671200,77,1
18,0.590800,172,1
19,0.668200,36,1
20,0.644100,80,1
21,0.671300,82,1
22,0.644100,80,1
23,0.590800,162,1
24,0.636600,57,1
25,0.668200,54,1
26,0.680300,192,1
27,0.671300,85,1
28,0.671200,71,1
29,0.674700,208,1
30,0.674700,194,1
31,0.671200,77,1
32,0.674700,118,1
33,0.674700,197,1
34,0.680300,192,1
35,0.671300,52,1
36,0.671300,56,1
37,0.680300,189,1
38,0.590800,182,1
39,0.590800,118,1
40,0.671300,56,1
41,0.670300,117,1
42,0.674700,209,1
43,0.590800,181,1
44,0.671200,56,1
45,0.672900,72,1
46,0.670100,84,1
47,0.590800,118,1
48,0.590800,118,1
49,0.674700,122,1
50,0.671300,82,1
51,0.676200,36,1
52,0.668200,36,1
53,0.674700,118,1
54,0.590800,118,1
55,0.671200,77,1
56,0.674700,201,1
57,0.636600,58,1
58,0.674700,134,1
59,0.636600,54,1
60,0.638400,66,1
61,0.674700,103,1
62,0.590600,57,1
63,0.702500,87,1
64,0.671300,55,1
65,0.673500,111,1
66,0.671300,56,1
67,0.590800,183,1
68,0.636600,58,1
69,0.590600,140,1
70,0.674700,197,1
71,0.590800,140,1
72,0.590800,146,1
73,0.671300,86,1
74,0.674700,118,1
75,0.671300,52,1
76,0.671200,49,1
77,0.677900,80,1
78,0.590800,183,1
79,0.636600,59,1
80,0.677900,37,1
81,0.668200,36,1
82,0.670300,120,1
83,0.590800,175,1
84,0.702500,87,1
85,0.590800,183,1
86,0.674700,118,1
87,0.590800,132,1
88,0.590800,123,1
89,0.672900,96,1
90,0.674700,99,1
91,0.671300,82,1
92,0.674700,201,1
93,0.670300,114,1
94,0.590600,136,1
95,0.670300,117,1
96,0.674700,197,1
97,0.671300,55,1
98,0.702500,87,1
99,0.671600,59,1
