Index 00 | Fitness=0.711600
Index 29 | Fitness=0.711600
Index 43 | Fitness=0.711600
Index 44 | Fitness=0.711600
Index 11 | Fitness=0.709400
Index 72 | Fitness=0.709400
Index 14 | Fitness=0.706300
Index 18 | Fitness=0.706300
Index 24 | Fitness=0.706300
Index 28 | Fitness=0.706300
Index 32 | Fitness=0.706300
Index 57 | Fitness=0.706300
Index 66 | Fitness=0.706300
Index 73 | Fitness=0.706300
Index 84 | Fitness=0.706300
Index 91 | Fitness=0.706300
Index 67 | Fitness=0.705200
Index 63 | Fitness=0.704100
Index 26 | Fitness=0.702500
Index 33 | Fitness=0.702500
Index 37 | Fitness=0.702500
Index 56 | Fitness=0.702500
Index 62 | Fitness=0.702500
Index 65 | Fitness=0.702500
Index 81 | Fitness=0.702500
Index 04 | Fitness=0.702300
Index 05 | Fitness=0.701900
Index 12 | Fitness=0.701900
Index 34 | Fitness=0.701900
Index 39 | Fitness=0.701900
Index 69 | Fitness=0.701900
Index 60 | Fitness=0.701500
Index 86 | Fitness=0.680300
Index 06 | Fitness=0.678400
Index 31 | Fitness=0.678400
Index 59 | Fitness=0.678400
Index 92 | Fitness=0.678400
Index 25 | Fitness=0.677500
Index 41 | Fitness=0.677500
Index 48 | Fitness=0.677500
Index 51 | Fitness=0.677500
Index 54 | Fitness=0.677500
Index 61 | Fitness=0.677500
Index 76 | Fitness=0.677500
Index 85 | Fitness=0.677500
Index 88 | Fitness=0.677500
Index 90 | Fitness=0.677500
Index 94 | Fitness=0.677500
Index 98 | Fitness=0.677500
Index 03 | Fitness=0.676200
Index 68 | Fitness=0.676200
Index 78 | Fitness=0.676200
Index 96 | Fitness=0.676200
Index 01 | Fitness=0.674700
Index 07 | Fitness=0.674700
Index 08 | Fitness=0.674700
Index 10 | Fitness=0.674700
Index 15 | Fitness=0.674700
Index 16 | Fitness=0.674700
Index 19 | Fitness=0.674700
Index 20 | Fitness=0.674700
Index 22 | Fitness=0.674700
Index 27 | Fitness=0.674700
Index 30 | Fitness=0.674700
Index 36 | Fitness=0.674700
Index 40 | Fitness=0.674700
Index 42 | Fitness=0.674700
Index 46 | Fitness=0.674700
Index 47 | Fitness=0.674700
Index 50 | Fitness=0.674700
Index 52 | Fitness=0.674700
Index 53 | Fitness=0.674700
Index 55 | Fitness=0.674700
Index 58 | Fitness=0.674700
Index 71 | Fitness=0.674700
Index 75 | Fitness=0.674700
Index 79 | Fitness=0.674700
Index 80 | Fitness=0.674700
Index 83 | Fitness=0.674700
Index 95 | Fitness=0.674700
Index 97 | Fitness=0.674700
Index 99 | Fitness=0.674700
Index 13 | Fitness=0.673100
Index 17 | Fitness=0.673100
Index 35 | Fitness=0.673100
Index 49 | Fitness=0.673100
Index 70 | Fitness=0.673100
Index 77 | Fitness=0.673100
Index 93 | Fitness=0.672900
Index 02 | Fitness=0.672500
Index 23 | Fitness=0.672500
Index 87 | Fitness=0.672500
Index 09 | Fitness=0.671600
Index 45 | Fitness=0.671600
Index 74 | Fitness=0.671600
Index 21 | Fitness=0.671300
Index 89 | Fitness=0.671300
Index 82 | Fitness=0.671200
Index 64 | Fitness=0.528100
Index 38 | Fitness=0.290200
